record_type,id,title,ticker,source_version,frequency,unit,description,usage,official_url,theme_ids,indicator_ids,input_ids,formula_expression,formula_description,output_frequency,output_unit,economic_meaning,validation_note,series_ids,source_dependency_ids,questions,source_kind,requiredness,source_uri,local_hint
series,evds:TP.HPBITABLO4.6,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 1. Gerçek Kişiler (Milyon ABD Doları) / c. Diğer - ABD Doları Karşılığı (Milyon ABD Doları),TP.HPBITABLO4.6,evds2,weekly,Milyon ABD Doları,Resmi seri adi: c. Diğer - ABD Doları Karşılığı (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.7,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 1. Gerçek Kişiler (Milyon ABD Doları) / d. Kıymetli Maden Depo Hesapları - ABD Doları Karşılığı (Milyon ABD Doları),TP.HPBITABLO4.7,evds2,weekly,Milyon ABD Doları,Resmi seri adi: d. Kıymetli Maden Depo Hesapları - ABD Doları Karşılığı (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.8,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 2. Tüzel Kişiler (Milyon ABD Doları),TP.HPBITABLO4.8,evds2,weekly,Milyon ABD Doları,Resmi seri adi: 2. Tüzel Kişiler (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: owner_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.9,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 2. Tüzel Kişiler (Milyon ABD Doları) / a. ABD Doları (Milyon ABD Doları),TP.HPBITABLO4.9,evds2,weekly,Milyon ABD Doları,Resmi seri adi: a. ABD Doları (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.10,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 2. Tüzel Kişiler (Milyon ABD Doları) / b. Euro - ABD Doları Karşılığı (Milyon ABD Doları),TP.HPBITABLO4.10,evds2,weekly,Milyon ABD Doları,Resmi seri adi: b. Euro - ABD Doları Karşılığı (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.11,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 2. Tüzel Kişiler (Milyon ABD Doları) / c. Diğer - ABD Doları Karşılığı (Milyon ABD Doları),TP.HPBITABLO4.11,evds2,weekly,Milyon ABD Doları,Resmi seri adi: c. Diğer - ABD Doları Karşılığı (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.12,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 2. Tüzel Kişiler (Milyon ABD Doları) / d. Kıymetli Maden Depo Hesapları - ABD Doları Karşılığı (Milyon ABD Doları),TP.HPBITABLO4.12,evds2,weekly,Milyon ABD Doları,Resmi seri adi: d. Kıymetli Maden Depo Hesapları - ABD Doları Karşılığı (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.13,B. Yurt İçi Yerleşik Bankalar (Milyon ABD Doları),TP.HPBITABLO4.13,evds2,weekly,Milyon ABD Doları,Resmi seri adi: B. Yurt İçi Yerleşik Bankalar (Milyon ABD Doları) | Durum: fetched_only,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.14,unresolved_from_notebook,TP.HPBITABLO4.14,evds2,weekly,,Resmi seri adi: unresolved_from_notebook | Durum: fetched_only | Not: Notebook icindeki kayitli EVDS seri adinda gorunmedigi icin unresolved_from_notebook olarak isaretlendi.,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.15,unresolved_from_notebook,TP.HPBITABLO4.15,evds2,weekly,,Resmi seri adi: unresolved_from_notebook | Durum: fetched_only | Not: Notebook icindeki kayitli EVDS seri adinda gorunmedigi icin unresolved_from_notebook olarak isaretlendi.,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
